drug/eng,drug/kaz,drug/ru,food/eng,food/kaz,food/ru,general/description/med_description_ru/body,general/description/med_description_ru/ref,general/description/consumer_description_ru,general/_value,general/_degree,_id,_type
loratadine,лоратадин,лоратадин,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Теоретически грейпфрутовый сок может повышать концентрацию лоратадина в плазме, как и другие препараты, являющиеся субстратами ферментативного пути CYP450 3A4. Предполагаемый механизм заключается в ингибировании опосредованного CYP450 3A4 метаболизма первого прохождения в стенке кишечника некоторыми соединениями, присутствующими в грейпфрутах. Клиническое значение этого потенциального взаимодействия неизвестно.
                    Зарегистрированные взаимодействия с мощными ингибиторами CYP450 3A4, такими как кларитромицин, эритромицин и кетоконазол, приводили к значительному увеличению площади под кривой зависимости концентрации в плазме от времени (AUC) лоратадина и его активного метаболита дескарбоэтоксилоратадина без связанных изменений в общем профиле безопасности препарата.","1. Bailey D, Bergstrand R, Edgar B, et al. ""Acute effects of drinking grapefruit juice on the pharmacokinetics and dynamics on felodipine and its potential clinical relevance."" Eur J Clin Pharmacol 42 (1992): 313-7
                    2. Arnold JM, Bailey DG, Munoz C, Spence JD ""Grapefruit juice--felodipine interaction: mechanism, predictability, and effect of naringin."" Clin Pharmacol Ther 53 (1993): 637-42
                    3. Arnold JMO, Bailey DG, Spence JD ""Grapefruit juice and drugs - how significant is the interaction."" Clin Pharmacokinet 26 (1994): 91-8
                    4. Henschel L, Sigusch H, Hippius M, Hoffmann A, Kaufmann K ""Influence of grapefruit juice on the pharmacokinetics of a slow release nifedipine formulation."" Pharmazie 49 (1994): 522-4
                    5. Arnold JM, Bailey DG, Strong HA, Munoz C, Spence JD ""Effect of grapefruit juice and naringin on nisoldipine pharmacokinetics."" Clin Pharmacol Ther 54 (1993): 589-94
                    6. Fazio A, Cassidy TG, Henann NE, Lower DL, Yamreudeewong W ""Drug-food interactions in clinical practice."" J Fam Pract 40 (1995): 376-84
                    7. ""Grapefruit juice interactions with drugs."" Med Lett Drugs Ther 37 (1995): 73-4
                    8. Reidenberg P, Brannan MD, Radwanski E, et al. ""Loratadine administered concomitantly with erythromycin: pharmacokinetic and electrocardiographic evaluations."" Clin Pharmacol Ther 58 (1995): 269-78
                    9. Olkkola KT, Neuvonen PJ, Hukkinen SK, Varhe A ""Plasma concentrations of triazolam are increased by concomitant ingestion of grapefruit juice."" Clin Pharmacol Ther 58 (1995): 127-31
                    10. Geraets DR, Lee HC, Ku YM, Min DI ""Effect of grapefruit juice on the pharmacokinetics and pharmacodynamics of quinidine in healthy volunteers."" J Clin Pharmacol 36 (1996): 469-76
                    11. Kareem A, Majeed A ""Effect of grapefruit juice on cyclosporine pharmacokinetics."" Pediatr Nephrol 10 (1996): 395
                    12. Adams DA, Wilkins MR, Murray S, Boobis AR, Clifford CP, Davies DS, Taylor GW ""Pharmacokinetic and cardiac effects of terfenadine after inhibition of its metabolism by grapefruit juice."" Br J Clin Pharmacol 42 (1996): p662
                    13. Ahlner J, Josefsson M, Zackrisson AL ""Effect of grapefruit juice on the pharmacokinetics of amlodipine in healthy volunteers."" Eur J Clin Pharmacol 51 (1996): 189-93
                    14. Huie K, Clement RP, Chen KJ, Cayen MN, Snow M, Yumibe N ""Identification of human liver cytochrome P450 enzymes that metabolize the nonsedating antihistamine loratadine. Formation o descarboethoxyloratadine by CYP3A4 and CYP2D6."" Biochem Pharmacol 51 (1996): 165-72
                    15. Craft JC, Edmonds A, Gustavson LE, Palmer R, Carr RA, Harris SI, Locke CS, Shi H ""Steady-state pharmacokinetics and electrocardiographic pharmacodynamics of clarithromycin and loratadine after individual or concomitant administration."" Antimicrob Agents Chemother 42 (1998): 1176-80
                    16. Kantola T, Neuvonen PJ, Kivisto KT ""Grapefruit juice greatly increases serum concentrations of lovastatin and lovastatin acid."" Clin Pharmacol Ther 63 (1998): 397-402
                    17. Bailey DG, Malcolm J, Arnold O, Spence JD ""Grapefruit juice-drug interactions."" Br J Clin Pharmacol 46 (1998): 101-10
                    18. Bailey DG, Bend JR, Freeman DJ, Kreeft JH, Munoz C ""Grapefruit juice felodipine interaction: Effect of naringin and 6',7'-dihydroxybergamottin in humans."" Clin Pharmacol Ther 64 (1998): 248-56
                    19. Bhargava VK, Garg SK, Kumar N, Prabhakar SK ""Effect of grapefruit juice on carbamazepine bioavailability in patients with epilepsy."" Clin Pharmacol Ther 64 (1998): 286-8
                    20. Neuvonen PJ, Lilja JJ, Kivisto KT ""Grapefruit juice-simvastatin interaction: Effect on serum concentrations of simvastatin, simvastatin acid, and HMG-CoA reductase inhibitors."" Clin Pharmacol Ther 64 (1998): 477-83
                    21. Blume H, Fuhr U, Maier-Bruggemann A, et al. ""Grapefruit juice increases oral nimodipine bioavailability."" Int J Clin Pharmacol Ther 36 (1998): 126-32
                    22. Neuvonen PJ, Lilja JJ, Kivisto KT ""Grapefruit juice increases serum concentrations of atorvastatin and has no effect on pravastatin."" Clin Pharmacol Ther 66 (1999): 118-27
                    23. Eagling VA, Back DJ, Profit L ""Inhibition of the CYP3A4-mediated metabolism and P-glycoprotein-mediated transport of the HIV-I protease inhibitor saquinavir by grapefruit juice components."" Br J Clin Pharmacol 48 (1999): 543-52
                    24. Damkier P, Brosen K, Hansen LL ""Effect of diclofenac, disulfiram, itraconazole, grapefruit juice and erythromycin on the pharmacokinetics of quinidine."" Br J Clin Pharmacol 48 (1999): 829-38
                    25. Buffum J, Chan WK, Harralson AF, Bui BCC, Lee AJ ""The effects of grapefruit juice on sertraline metabolism: An in vitro and in vivo study."" Clin Ther 21 (1999): 1890-9
                    26. Gunston GD, Mehta U ""Potentially serious drug interactions with grapefruit juice."" S Afr Med J 90 (2000): 41
                    27. Ohnishi A, Takanaga H, Maatsuo H, et al. ""Pharmacokinetic analysis of felodipine-grapefruit juice interaction based on an irreversible enzyme inhibition model."" Br J Clin Pharmacol 49 (2000): 49-58
                    28. Brique SA, Motte KB, Libersa CC, et al. ""Dramatic inhibition of amiodarone metabolism induced by grapefruit juice."" Br J Clin Pharmacol 49 (2000): 373-8
                    29. Bailey DG, Bend JR, Freeman DJ, Dresser GR, Kreeft JH, Munoz C ""Grapefruit-felodipine interaction: Effect of unprocessed fruit and probable active ingredients."" Clin Pharmacol Ther 68 (2000): 468-77
                    30. Affrime MB, Batra VK, Salfi M, Lim JM, Cayen MN, Kosoglou T ""Evaluation of the pharmacokinetics and electrocardiographic pharmacodynamics of loratadine with concomitant administration of ketoconazole or cimetidine."" Br J Clin Pharmacol 50 (2000): 581-9","Теоретически грейпфрутовый сок может повышать концентрацию лоратадина в плазме, как и другие препараты, являющиеся субстратами ферментативного пути CYP450 3A4. Предполагаемый механизм заключается в ингибировании опосредованного CYP450 3A4 метаболизма первого прохождения в стенке кишечника некоторыми соединениями, присутствующими в грейпфрутах. Клиническое значение этого потенциального взаимодействия неизвестно.
                Зарегистрированные взаимодействия с мощными ингибиторами CYP450 3A4, такими как кларитромицин, эритромицин и кетоконазол, приводили к значительному увеличению площади под кривой зависимости концентрации в плазме от времени (AUC) лоратадина и его активного метаболита дескарбоэтоксилоратадина без связанных изменений в общем профиле безопасности препарата.",yes,minor,0050,drug-food
meloxicam,мелоксикам,мелоксикам,alcohol,алкоголь,алкоголь,"Одновременный прием аспирина или нестероидных противовоспалительных препаратов (НПВП) и этанола может привести к желудочно-кишечной кровопотере. Механизм может быть связан с комбинированным местным эффектом, а также ингибированием простагландинов, что приводит к снижению целостности слизистой оболочки ЖКТ.
                        Пациенты должны быть проинформированы об этом потенциальном взаимодействии и рекомендованы воздерживаться от употребления алкоголя при приеме аспирина или НПВП.","1. ""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn (2002):","Поговорите с вашим врачом перед использованием мелоксикама вместе с этанолом. Не употребляйте алкоголь во время приема мелоксикама. Алкоголь может увеличить риск желудочного кровотечения, вызванного мелоксикамом. Немедленно позвоните своему врачу, если у вас есть симптомы кровотечения в желудке или кишечнике.
                    Это включает черный, кровавый или смолистый стул или кашель с кровью или рвотными массами, похожими на кофейную гущу. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,moderate,0051,drug-food
mercaptopurine,меркаптопурин,меркаптопурин,meal,ас,пища,"Ограниченные данные свидетельствуют о том, что пища может снижать пероральную биодоступность 6-меркаптопурина (6-MP). В одном исследовании фармакокинетика 6-МП изучалась в двух отдельных случаях у семи пациентов. Однократная доза 6-MP вводилась после ночного голодания в одном случае и через 15 минут после стандартного завтрака в другом случае. Авторы сообщили, что пиковые уровни 6-МП в плазме были ниже и для их достижения требовалось больше времени после приема в состоянии сытости.
                        Кроме того, у двух пациентов уровни в плазме были неопределяемыми (менее 20 нг/мл). Пока не будет получено больше информации о влиянии пищи на абсорбцию 6-MP, может быть целесообразно принимать 6-MP натощак за 1 час до или через 2 часа после еды.","1. ""Schmidt LE, Dalhoff K ""Food-drug interactions."" Drugs 62 (2002): 1481-502",Вы можете испытывать снижение всасывания меркаптопурина в присутствии пищи. Принимайте меркаптопурин натощак за 1 час до или через 2 часа после еды. Это облегчит вашему организму усвоение лекарства.,yes,moderate,0052,drug-food
methylprednisolone,метилпреднизолон,метилпреднизолон,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Грейпфрутовый сок может повышать концентрацию в плазме крови перорально вводимых препаратов, которые являются субстратами изофермента CYP4503A4. Предлагаемый механизм заключается в ингибировании CYP4503A4-опосредованного метаболизма в стенке кишечника определенными соединениями, присутствующими в грейпфруте. Поскольку грейпфрутовый сок ингибирует преимущественно кишечный, а не печеночный CYP4503A4, степень взаимодействия является наибольшей для тех препаратов, которые подвергаются значительному пресистемному метаболизму CYP4503A4 (т.е. препараты с низкой пероральной биодоступностью). В целом, эффект грейпфрутового сока зависит от концентрации, дозы и препарата и может сильно варьироваться в зависимости от марки. Фармакокинетические взаимодействия, связанные с грейпфрутовым соком, также подвержены высокой степени вариабельности между пациентами, поэтому степень, в которой это может повлиять на конкретного пациента, трудно предсказать.","1. Bailey D, Bergstrand R, Edgar B, et al. ""Acute effects of drinking grapefruit juice on the pharmacokinetics and dynamics on felodipine and its potential clinical relevance."" Eur J Clin Pharmacol 42 (1992): 313-7
                        2. Sollie FA, Steinijans VW, Sauter R, Jonkman JH ""The influence of caffeine on the steady-state pharmacokinetics of theophylline."" Clin Pharmacol Ther 49 (1991): 248-55
                        3. Arnold JM, Bailey DG, Munoz C, Spence JD ""Grapefruit juice--felodipine interaction: mechanism, predictability, and effect of naringin."" Clin Pharmacol Ther 53 (1993): 637-42
                        4. Arnold JMO, Bailey DG, Spence JD ""Grapefruit juice and drugs - how significant is the interaction."" Clin Pharmacokinet 26 (1994): 91-8
                        5. Henschel L, Sigusch H, Hippius M, Hoffmann A, Kaufmann K ""Influence of grapefruit juice on the pharmacokinetics of a slow release nifedipine formulation."" Pharmazie 49 (1994): 522-4
                        6. Arnold JM, Bailey DG, Strong HA, Munoz C, Spence JD ""Effect of grapefruit juice and naringin on nisoldipine pharmacokinetics."" Clin Pharmacol Ther 54 (1993): 589-94
                        7. Fazio A, Cassidy TG, Henann NE, Lower DL, Yamreudeewong W ""Drug-food interactions in clinical practice."" J Fam Pract 40 (1995): 376-84
                        8. ""Grapefruit juice interactions with drugs."" Med Lett Drugs Ther 37 (1995): 73-4
                        9. Olkkola KT, Neuvonen PJ, Hukkinen SK, Varhe A ""Plasma concentrations of triazolam are increased by concomitant ingestion of grapefruit juice."" Clin Pharmacol Ther 58 (1995): 127-31
                        10. Geraets DR, Lee HC, Ku YM, Min DI ""Effect of grapefruit juice on the pharmacokinetics and pharmacodynamics of quinidine in healthy volunteers."" J Clin Pharmacol 36 (1996): 469-76","Грейпфрутовый сок может повышать уровень некоторых лекарств в крови, таких как метилпреднизолон. Возможно, вам захочется ограничить потребление грейпфрута и грейпфрутового сока во время лечения метилппреднизолоном. Однако, если вы регулярно употребляли грейпфрут или грейпфрутовый сок вместе с лекарством, вам рекомендуется проконсультироваться со своим врачом, прежде чем изменять количество этих продуктов в своем рационе, поскольку это может повлиять на действие вашего лекарства.",yes,moderate,0053,drug-food
metoclopramide,метоклопрамид,метоклопрамид,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты препаратов, действующих на ЦНС. Использование в комбинации может привести к дополнительному угнетению центральной нервной системы и/или нарушению суждений, мышления и психомоторных навыков.	Пациентов, получающих препараты, действующие на ЦНС, следует предупредить об этом взаимодействии и рекомендовать избегать или ограничивать употребление алкоголя.
                        Амбулаторным пациентам следует рекомендовать избегать опасных видов деятельности, требующих полной умственной активности и координации движений, до тех пор, пока они не узнают, как эти агенты влияют на них, и сообщать своему врачу, если они испытывают чрезмерные или длительные эффекты на ЦНС, которые мешают их нормальной деятельности.","1. Ankier SI, Turner P, Warrington SJ ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7
                            2. Gilman AG, eds., Nies AS, Rall TW, Taylor P ""Goodman and Gilman's the Pharmacological Basis of Therapeutics."" New York, NY: Pergamon Press Inc. (1990):
                            3. ""Product Information. Fycompa (perampanel)."" Eisai Inc (2012):
                            4. ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc (2015):","Алкоголь может усиливать побочные эффекты метоклопрамида со стороны нервной системы, такие как головокружение, сонливость и трудности с концентрацией внимания. У некоторых людей также могут наблюдаться нарушения мышления и суждений. Вам следует избегать или ограничивать употребление алкоголя во время лечения метоклопрамидом. Не принимайте больше рекомендуемой дозы метоклопрамида и избегайте действий, требующих умственной активности, таких как вождение или работа с опасными механизмами, пока не узнаете, как лекарство влияет на вас.
                    Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,moderate,0054,drug-food
methotrexate,метотрексат,метотрексат,alcohol,алкоголь,алкоголь,"Одновременное применение метотрексата с алкоголем может увеличить риск повреждения печени. Метотрексат, особенно в более высоких дозах или при длительном лечении, был связан с гепатотоксичностью, включая острый гепатит, хронический фиброз, некроз, цирроз и повышение уровня печеночных ферментов.
                    Следует учитывать риск повреждения печени при применении метотрексата с другими потенциально гепатотоксичными препаратами например, алкоголь.","1. ""Product Information. Methotrexate (methotrexate)."" Lederle Laboratories (2002):
                    2. Cerner Multum, Inc. ""UK Summary of Product Characteristics.""","Метотрексат может вызвать проблемы с печенью, и его применение с другими лекарствами, которые также могут влиять на печень, такими как этанол, может увеличить этот риск. Вам следует избегать или ограничивать употребление алкоголя во время лечения этими препаратами. Немедленно обратитесь к врачу, если у вас высокая температура, озноб, боль в суставах или отек, необычное кровотечение или кровоподтеки, кожная сыпь, зуд, потеря аппетита, усталость, тошнота, рвота, боли в животе, темная моча, бледный стул и / или пожелтение кожи или глаз, поскольку это могут быть признаки и симптомы повреждения печени. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств, предварительно не посоветовавшись со своим врачом.",yes,moderate,0055,drug-food
methotrexate,метотрексат,метотрексат,caffeine,кофеин,кофеин,"Ограниченные данные свидетельствуют о том, что потребление кофеина в дозе более 180 мг/сут может влиять на эффективность метотрексата у пациентов с ревматоидным артритом. Точный механизм взаимодействия неизвестен, но может быть связан с антагонистическим действием кофеина на аденозиновые рецепторы, поскольку считается, что противовоспалительные свойства метотрексата обусловлены накоплением аденозина. До получения дополнительной информации следует рассмотреть возможность взаимодействия у пациентов, которые потребляют значительное количество кофеина и продуктов, содержащих кофеин, и которым назначают метотрексат при ревматоидном артрите. Будет целесообразно ограничить потребление кофеина, если подозревается взаимодействие в случаях неэффективности лечения.","1. Nesher G, Mates M, Zevin S ""Effect of caffeine consumption on efficacy of methotrexate in rheumatoid arthritis."" Arthritis Rheum 48 (2003): 571-572","Кофеин может снижать эффективность метотрексата при лечении артрита. Если вы принимаете метотрексат от артрита, возможно, вам захочется ограничить потребление продуктов и лекарств, содержащих кофеин. Проконсультируйтесь со своим врачом или фармацевтом, если у вас есть опасения или вы не уверены, какие продукты могут содержать кофеин.",yes,moderate,0056,drug-food
metronidazole,метронидазол,метронидазол,alcohol,алкоголь,алкоголь,"Употребление алкоголя или продуктов, содержащих алкоголь, во время терапии мтронидазолом может привести к дисульфирамоподобной реакции у некоторых пациентов. Было несколько сообщений о случаях применения метронидазола, хотя в целом данные противоречивы. Предполагаемый механизм заключается в ингибировании альдегиддегидрогеназы метронидазолом способом, аналогичным дисульфираму. После приема алкоголя ингибирование альдегиддегидрогиназы приводит к повышению концентрации ацетальдегида, накопление которого может вызвать неприятную физиологическую реакцию, называемую ""дисульфирамовой реакцией"". Симптомы включают приливы, пульсацию в голове и шее, пульсирующую головную боль, затрудненное дыхание, тошноту, рвоту, потливость, жажду, боль в груди, сердцебиение, одышку, гипервентиляцию, тахикардию, гипотензию, обморок, слабость, головокружение, помутнение зрения и спутанность сознания. В одном исследовании не было обнаружено ни повышения уровня ацетальдегида в крови, ни объективных или субъективных признаков дисульфирамоподобной реакции на этанол у шести пациентов, получавших метронидазол (200 мг три раза в день в течение 5 дней), по сравнению с шестью пациентами, получавшими плацебо.
                    Поскольку отсутствуют четкие доказательства безопасности применения этанола во время терапии метронидазолом, пациенты должны быть проинформированы о возможности взаимодействия. Потребление алкогольных напитков и продуктов, содержащих пропиленгликоль, особенно противопоказано во время и в течение по крайней мере 3 дней после завершения терапии метронидазолом и бензнидазолом в соответствии с маркировкой их продуктов.","1. DeFrance DT, Giannini AJ ""Metronidazole and alcohol: potential for combinative abuse."" J Toxicol Clin Toxicol 20 (1983): 509-15
                    2. Alexander I ""Alcohol-antabuse syndrome in patients receiving metronidazole during gynaecological treatment."" Br J Clin Pract 39 (1985): 292-3
                    3. Harries DP, Teale KF, Sunderland G ""Metronidazole and alcohol: potential problems."" Scott Med J 35 (1990): 179-80
                    4. ""Product Information. Flagyl (metronidazole)."" Searle (2001):
                    5. Edwards DL, Fink PC, Van Dyke PO ""Disulfiram-like reaction associated with intravenous trimethoprim-sulfamethoxazole and metronidazole."" Clin Pharm 5 (1986): 999-1000
                    6. Williams CS, Woodcock KR ""Do ethanol and metronidazole interact to produce a disulfiram-like reaction?."" Ann Pharmacother 34 (2000): 255-7
                    7. Tillonen JS, Kaihovaara PS, Salaspuro MP, Visapaa JP ""Lack of disulfiram-like reaction with metronidazole and ethanol."" Ann Pharmacother 36 (2002): 971-4
                    8. Krulewitch CJ ""An unexpected adverse drug effect."" J Midwifery Womens Health 48 (2003): 67-8
                    9. ""Product Information. Benznidazole (benznidazole)."" Everett Laboratories Inc (2017):","Употребление алкогольных напитков или продуктов, содержащих спирт или пропиленгликоль, во время лечения метронидазолом не рекомендуется. Это может иногда вызывать у некоторых пациентов реакцию, подобную реакции дисульфирама, которая включает в себя неприятные эффекты, такие как приливы, пульсация в голове и шее, пульсирующая головная боль, затрудненное дыхание, тошнота, рвота, потливость, жажда, боль в груди, учащенное сердцебиение, сердцебиение, низкое кровяное давление, головокружение, головокружение, затуманенное зрение и замешательство. В редких случаях более серьезные реакции могут включать нарушение сердечного ритма, сердечный приступ, сердечную недостаточность, потерю сознания, судороги и даже смерть. Пациенты, получающие метронидазол, должны избегать употребления любых продуктов, содержащих спирт или пропиленгликоль, по крайней мере, в течение 3 дней до завершения терапии.",yes,major,0057,drug-food
metofrmin,метформин,метформин,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать влияние метформина на метаболизм лактата и повышать риск развития лактоацидоза. Кроме того, алкоголь может вызвать гипогликемию или гипергликемию у пациентов с сахарным диабетом. Хотя гипогликемия редко возникает во время лечения только метформином, риск может увеличиваться при остром употреблении алкоголя. Даже умеренные дозы могут значительно снизить уровень сахара в крови, особенно если алкоголь употребляется натощак или после тренировки. Механизм включает ингибирование как глюконеогенеза, так и контррегуляторной реакции на гипогликемию. Эпизоды гипогликемии могут длиться от 8 до 12 часов после приема этанола. Напротив, хроническое злоупотребление алкоголем может вызвать нарушение толерантности к глюкозе и гипергликемию. Умеренное употребление алкоголя, как правило, не влияет на уровень глюкозы в крови у пациентов с хорошо контролируемым диабетом.","1. Инструкция по медицинскому применению лекарственного препарата (Метформин)
                        2. ""Position Statement: evidence-based nutrition principles and recommendations for the treatment and prevention of diabetes related complications. American Diabetes Association."" Diabetes Care 25(Suppl 1) (2002): S50-S60","Метформин следует принимать во время еды, а во время лечения следует избегать чрезмерного употребления алкоголя (либо кратковременного запоя, либо частого употребления). Прием метформина с алкоголем может увеличить риск редкого, но серьезного и потенциально опасного для жизни состояния, известного как лактоацидоз, который представляет собой накопление молочной кислоты в крови, которое иногда может возникать во время лечения препаратами, содержащими метформин. Лактоацидоз более вероятен, если у вас есть заболевания почек или печени, острая или нестабильная застойная сердечная недостаточность или обезвоживание.",yes,major,0058,drug-food
metoprolol,метопролол,метопролол,alcohol,алкоголь,алкоголь,"Многие психотерапевтические и действующие на ЦНС средства (например, анксиолитики, седативные средства, снотворные, антидепрессанты, нейролептики, опиоиды, алкоголь, миорелаксанты) проявляют гипотензивный эффект, особенно в начале терапии и при увеличении дозы. Одновременное применение с антигипертензивными и другими гипотензивными средствами, в частности вазодилататорами и альфа-адреноблокаторами, может привести к дополнительному воздействию на артериальное давление и ортостаз.
                    При одновременном применении этих препаратов рекомендуется соблюдать осторожность и внимательно следить за развитием артериальной гипотензии. Некоторые авторитетные специалисты рекомендуют избегать употребления алкоголя пациентам, получающим сосудорасширяющие антигипертензивные препараты. Пациентам следует рекомендовать избегать резкого подъема из положения сидя или лежа и сообщать своему врачу, если они испытывают головокружение, обморок, ортостаз или тахикардию.","1. Sternbach H ""Fluoxetine-associated potentiation of calcium-channel blockers."" J Clin Psychopharmacol 11 (1991): 390-1
                    2. Feder R ""Bradycardia and syncope induced by fluoxetine."" J Clin Psychiatry 52 (1991): 139
                    3. Ely E, Ellison JM, Milofsky JE ""Fluoxetine-induced bradycardia and syncope in two patients."" J Clin Psychiatry 51 (1990): 385-6
                    4. Malevany I, Dreher J, Rodriguez de la Torre B, et al. ""Serum levels and cardiovascular effects of tricyclic antidepressants and selective serotonin reuptake inhibitors in depressed patients."" Ther Drug Monit 23 (2001): 435-40
                    5. Cerner Multum, Inc. ""Australian Product Information."" O 0
                    6. Kecskemeti V, Pacher P ""Cardiovascular side effects of new antidepressants and antipsychotics: new drugs, old concerns?"" Curr Pharm Des 10 (2004): 2463-75
                    7. Andrews C, Pinner G ""Postural hypotension induced by paroxetine."" BMJ 316 (1998): 595","Метопролол и этанол могут усилить снижение вашего кровяного давления. Вы можете испытывать головную боль, головокружение, головокружение, обморок и/ или изменения пульса или частоты сердечных сокращений. Эти побочные эффекты, скорее всего, проявятся в начале лечения, после увеличения дозы или при возобновлении лечения после перерыва. Сообщите своему врачу, если у вас появятся эти симптомы, и они не исчезнут через несколько дней или станут неприятными. Избегайте вождения или работы с опасными механизмами, пока не узнаете, как на вас влияют лекарства, и соблюдайте осторожность при вставании из положения сидя или лежа. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств, предварительно не посоветовавшись со своим врачом.",yes,moderate,0059,drug-food
metoprolol,метопролол,метопролол,multivitamins with minerals,дәрумендер мен минералдар,поливитамины и минералы,"Одновременный прием с солями кальция может снизить пероральную биодоступность бета-адреноблокаторов. Точный механизм взаимодействия неизвестен.
                    Рекомендуется разделить время приема бета-адреноблокаторов и препаратов кальция по крайней мере на 2 часа. Пациенты должны находиться под наблюдением на предмет возможного снижения бета-блокирующих эффектов после добавления терапии кальцием.","1. Axthelm T, Schafer-Korting M, Kirch W, Kohler H, Mutschler E ""Interaction of atenolol with furosemide and calcium and aluminum salts."" Clin Pharmacol Ther 30 (1981): 429-35","Применение метопролола вместе с поливитаминами с минералами может уменьшить действие метопролола. Разделите время приема метопролола и поливитаминов с минералами не менее чем на 2 часа. Если ваш врач действительно назначает эти лекарства вместе, вам может потребоваться коррекция дозы или специальный тест, чтобы безопасно использовать оба препарата. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств, предварительно не посоветовавшись со своим врачом.",yes,moderate,0060,drug-food
metoprolol,метопролол,метопролол,food,ас,пища,"Биодоступность метопролола может быть повышена при приеме пищи.
                    Пациентам может быть дано указание принимать метопролол в одно и то же время каждый день, предпочтительно во время или сразу после еды.","1. ""Product Information. Lopressor (metoprolol)."" Novartis Pharmaceuticals (2001):
                    2. Darcy PF ""Nutrient-drug interactions."" Adverse Drug React Toxicol Rev 14 (1995): 233-54","Пища может повысить уровень метопролола в вашем организме. Вы должны принимать метопролол в одно и то же время каждый день, предпочтительно во время или сразу после еды. Это облегчит вашему организму усвоение лекарства. Избегайте употребления алкоголя, который может усилить сонливость и головокружение во время приема метопролола. Метопролол является лишь частью полной программы лечения, которая также включает диету, физические упражнения и контроль веса. Очень внимательно следите за своей диетой, приемом лекарств и физическими упражнениями.",yes,moderate,0061,drug-food
nilotinib,нилотиниб,нилотиниб,Grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Грейпфрутовый сок может повышать концентрацию нилотиниба в плазме крови. Предлагаемый механизм заключается в ингибировании CYP4503A4-опосредованного метаболизма первого прохождения в стенке кишечника определенными соединениями, присутствующими в грейпфрутах. Поскольку нилотиниб связан с зависимым от концентрации удлинением интервала QT, повышенные уровни могут усиливать риск желудочковых аритмий, таких как торсад де пуант и внезапная смерть.
                    Прием пищи увеличивает пероральную биодоступность нилотиниба. Механизм взаимодействия неизвестен. Поскольку нилотиниб связан с зависимым от концентрации удлинением интервала QT, повышенные уровни могут усиливать риск желудочковых аритмий, таких как торсад де пуант и внезапная смерть.
                    Пациентам, получающим нилотиниб, следует избегать употребления грейпфрута, грейпфрутового сока и любых добавок, содержащих экстракт грейпфрута. Кроме того, не следует употреблять пищу в течение по крайней мере 2 часов до и 1 часа после приема дозы нилотиниба.","1. ""Product Information. Tasigna (nilotinib)."" Novartis Pharmaceuticals (2007):","Не употребляйте грейпфрут или грейпфрутовый сок во время лечения нилотинибом, если ваш врач не предписал иное. Грейпфрутовый сок может повысить уровень нилотиниба в крови до опасного уровня, увеличивая риск нарушения сердечного ритма, которое может быть серьезным. Вам следует немедленно обратиться к врачу, если во время лечения нилотинибом у вас возникнет внезапное головокружение, головокружение, обморок, одышка или учащенное сердцебиение. Пища также может повышать уровень нилотиниба в крови. Поэтому вы должны принимать нилотиниб натощак, что означает, что не следует принимать пищу в течение по крайней мере двух часов до или через час после приема нилотиниба. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств, предварительно не посоветовавшись со своим врачом.",yes,major,0062,drug-food
